item,type,area,climate,locale,difficulty,form,prep,cost,AF,comment,effect,lvl
Bergamot,Stun Relief,---,---,---,very hard,Flower,Brew,15sp,0,If drawback occurs user will suffer insomnia during the night after he used Bergamot. The lack of sleep puts user at a -20 penalty the day after.,User ignores all stun from critical injuries no matter how grave during the duration. Stun no parry results are converted to merely stun.,16
Berterin,Organ Repair/Preservation,everywhere,mild temperate,decidous/mixed forest,light,Moss,Brew,19gp,20,,Preservation of organic material (up to body size) for 1 day.,3
Bitterlove,Drug,everywhere,mild temperate,grasslands,light,Plant,Inhale,9sp,0,Bitterlove makes a wounderful place to bed down for the night - being soft and cushiony.,if fresh leaves boiled in water and the steam inhaled the subject enjoys sensory enhancement. Men and Elves are enabled to see as well as Dwarves in darkness. The effect lasts a full day.,0
Bitterwood,General Purpose,everywhere,hot and humid,jungle/rain forest,very hard,Root,Ingest,15gp,0,Consuming smoked root makes one very thirsty.,"The white root may be eaten (raw or cooked) but its crunchy texture only lends itself well to salads. If smoked its nutiens become usefull. As the root matures over the fire it takes a rich smoky taste (not unlike that of ham) and a softer meatier texture. It cures any and all organ damage.
A raw root keeps for severaly month if kept in a cool dark place. A smoked one only lasts a few weeks.",0
Black Cackler,Drug,Eriador,mild temperate,underground,hard,Mushroom,Ingest,2gp,0,There is no known antidote for the effects of this fungi. They are not cumulative regardless of the amount consumed.,If eaten the bitter tasteing flesh produces uncontrollable laughter and foolish behaviour for 4-7 hours.,0
Black Vines,Physical Alteration/Enhancement,Rhudaur,mild temperate,decidous/mixed forest,absurd,Leaf,Liquid,7sp,0,Not very useful as a poison since it require target to drink large amounts.,Intoxicant. Euphoria and inactivity for 2-20 hours. It confers no pain but othervise acts as a respiratory poison. May be used as a medical anaestethic since it lowers the targets consciousness and receptibility to pain. ,7
Blade Hemlock,Poison,---,---,---,very hard,Plant,Paste,42sp,0,,Muscle poison. Incapacitation (-100) for 5 minutes per 10 failure starting in 3 rounds. Failure by 26+ results in unconsciousness. Failure by 51+ results in instant unconciousness and death within 1-10 hours.,6
Blue Eyes,Physical Alteration/Enhancement,---,---,---,extreme,Flower,Brew,14sp,0,,x3 vision (+25 visual perception) and 50' infravision for 3 hours. Usable once per day.,15
Blue Pine,Nutrition/Refreshment,western Endor,mild temperate,coniferous forest,easy,Seed,Ingest,1cp,0,,Blue Pine seeds are used as food source by the Hillmen of Rhudaur. They are acidic in taste - though this may be cured by slow and careful roasting. The seeds are nutricious (5 make up the equivalent of 1 meal) and kept well (for years) once dired.,0
Bluedrake,Burn/Exposure Relief,everywhere,cool temperate,marshes/swamp,extreme,Flower,Apply,50gp,0,,If poured onto any burn (no matter how severe) the nectar numbs the area - healing the burn if left undisturbed for the next 6 hours.  The flower's nectar takes 1 week to replenish itself and may be sored while retaining its powers for up to 9 month.,0
Bodezlist,Nutrition/Refreshment,Far Harad,arid,desert,light,Plant,Ingest,12gp,0,Its leaves are sharp: anyone brushing up against then suffers a cut (1-6 unmodified dagger attacks). If someoe runs into a Bodezlist bush the damage is more severe (1-10 +20 attacks),Within the center of the plant is a sweet succulent mass that provides water equal to a day's ration. Removing the spines is not hard (medium foraging roll),0
Boglock,Poison,everywhere,mild temperate,marshes/swamp,extreme,Plant,Paste,500gp,0,,If the poison reaches the bloodstream it triggers muscle spasms auf such magnitude that the victim's heart is affected: killing him in 1-10 rounds,25
Boneset,Muscle/Cartilage/Tendon Repair,White Mountains,cold,mountains,medium,Root,Ingest,14gp,0,Drawback mean that bones set incorrect and may confer a permanent disability.,Triple healing rate for fractures. Affects all fractures in a body. All fractures must be set before ingestion of the herbs.,6
Boskone,Physical Alteration/Enhancement,everywhere,mild temperate,decidous/mixed forest,folly,Powder,Inhale,80gp,5,Drawback confers a severe headache that puts user at -10 for 1-8 hours.,Effect equals a Nature's Awareness spell lasting for 11-20 rounds. Require concentration.,17
Boxdeath,Physical Alteration/Enhancement,everywhere,arid,desert,folly,Flower,Ingest,600gp,0,,"If the flower is ingested by someone with grievious injuries – actually, any injury is enoigh, but usually ony catastrophically serious ones merit the risk associated with boxdeath – it sends him into a coma for 3 days, during which time no other healing magic or herbs have effect. At the end of that time the person has a 50/50 chance of waking up, completely healed or dying without any chance (short of by Athelas in the hands of a king) or negating power.",0
Bragolith,Poison,---,---,---,folly,Juice,Ingest,90sp,0,,Conversion poison. Phosphorescent green firefly juice. RR failure by 01-25 incapacitates (-100) victim until healed of the internal burns. Failure by 26+ causes victim to spontaneously combust taking 20 hit points per round until dead.,5
Bramblerose,Concussion Relief,everywhere,mild temperate,freshwater coast and banks,medium,Fruit,Ingest,4gp,0,,Eating the bamblerose fruit restores 4-10 concussion hits. Eating mor just fills the stomach.,0
Breldiar,Physical Alteration/Enhancement,everywhere,warm,volcanic areas,medium,Flower,Ingest,25gp,0,,Euphoric. Subtracts 30 from moving maneuvers and melee. Add +50 to missile attacks and directed spells. Lasts for 1 hour.,12
Bright Blue Eyes,Physical Alteration/Enhancement,Rhovanion,mild temperate,grasslands,light,Flower,Brew,15gp,0,,"If 25 bright blue eyes are gathered under a full moon and brewed into a tea, the imbiber experiences enhanced vision – as sharp as the most observant Hobbit or far-sightes Elf – for  a period of 3 hours. If taken more than once during the given day, the tea has no further effect. Neither the tea nor the flowers may be stored without loss of potency.",0
Brithagurth,Poison,---,---,---,folly,Roots,Paste,18sp,0,The -25 penalty from useless appandages are not cumulative with any penalties from the 11.2.3 Poison Severity Chart.,Conversion poison. Venom causes hardening of tendons in 1-4 appendages. Areas affected become useless for 10 minutes/10 failure. Victim is at -25 per useless appendage. ,2
Brorkwilb,General Purpose,---,---,---,light,Flower,Ingest,18sp,15,Drawback results in either (01-33) that herb has no effect or (34-66) that the shared dreams is with an entirely random target or (67-100) that the user gets a vision of something else important or unimportant.,Allows shared dreams with a family member within 100 miles/level. Lasts for 8 hours during which person is asleep and may communicate (full duplex) with his family member. ,5
Bukandas Bulch,Poison,---,---,---,extreme,Wolves,Juice,12sp,0,,Respiratory poison. Gland juice induces asthma attack. Victim that fails RR by 01-25 is at -15 to all physical actions for 11-20 rnds. Victims that fail RR by 26+ is at -25 to all physical actions for 21-30 rnds. Movement is cut by 50\\% for the duration.,3
Bursthelas,Bone Repair,middle Endor,cool temperate,short grass,folly,Stalk,Brew,90sp,0,,Shatter repairs. Magical herb mends shattered bones without need of surgery. The herb will only heal one shattered bone so if there are many in the users body it will target the gravest injury (usually the one that provide most penalty).,14
Butterfood,Organ Repair/Preservation,everywhere,mild temperate,short grass,hard,Flower,Paste,25gp,0,,"If ground up, mixed with a small amount of water and dripped into the eye of someone blind because of an injury, daily administrations of butterfoot over the course of 1 week restore sight.",0
Buttonhead,Physical Alteration/Enhancement,everywhere,cool temperate,underground,medium,Fungus,Ingest,10gp,0,,Dispels weariness in the consumer making him feel totally refreshed for 12 hours.,10
Caj,Physical Alteration/Enhancement,Far Harad,hot and humid,desert,hard,scrub,Brew,10gp,0,"Caj tea is said to be the best tasting in all of Middle-Earth. It also has a beneficial effect of Essence spellcasters, allowing them to recoup their normal Pps in ½ ther usual recovery period. Preparation for this effect takes 2 days of attunement to archive.","Those wishing to die sometimes seek out this plant because of the cumulative effects of brewing tea from the nodule resin, setting them on what the Bozishnarod call the Long Path. The tea causes its imbiber to starve to death, but without anguish or suffering.",0
Camadarch,Poison,eastern Eriador,cool temperate,underground,hard,Mushroom,Liquid,33gp,0,"Camadarch is a liquid poison prepared from a mushrom found in the caves of the fells of eastern Eriador and the underdeeps. It turns a victim‘s skin blue over the course of a day. After 24 hours, each external feature of the body must make a RR or rot off in 1-10 hours. If mixed with alcohol, it becomes a acidic contact poison that causes burns: 1-2 E heat crits on the 1st round, 1-2 C crits on the 3rd round, and 1-2 A crits on the 5th",,5
Camomile,Pain Reduction,---,---,---,medium,Flower,Brew,3cp,25,,x3 healing rate when recovering from penalties. Patient is likely (85\\% chance) to fall asleep for 2-6 hours. Usage = 3 doses per day for full effect. If AF roll is under 26 patient will get sick and be at -15 for 1-4 days.,1
Caranan,Concussion Relief,---,---,---,medium,Leaves,Ingest,3tp,0,,Heals 2-4 hits. Relieves swelling.,4
Carcalen,Poison,---,---,---,folly,Moss,Brew,36sp,0,,Nerve poison. RR failure by 01-25 results in a random limb being unusable for 1-100 days. RR Failure by 26-50 results in nerve damage: victim is out until nerves are healed. Failure by 51+ equals death in 20 rounds.,4
Carcatu,Life Preservation,---,---,---,extreme,Grass,Apply,9sp,0,,Soulkeeping for 1 day. Must be administered within the span of soul departure.,13
Carefree Mustard,General Purpose,Rhovanion,mild temperate,freshwater coast and banks,hard,Leaves,Brew,10sp,0,,Heals all concussion hits in 1 hour. I.e after 20 minutes of drinking the brew the imbiber has been relieved of 1/3 of his taken hits.,6
Cargalen,Poison,Arnor,cool temperate,underground,hard,Moss,Liquid,45gp,0,"Cagalen‘s moist surface harbors are deadly nerve poison often used by assasins. Victims must save against a 4th level nerve poison; victims failing an RR by 01-50 loose feeling in and use of 1-2 extremities (hands and feet) for 1-100 days; with a failure of 51-100, the nerves in the extremity are reduced to useles pulp; failure 100+ results in death, as the victims nerves simpydissolve into a hot, pink liquid. Fortunately, the poison is easily broken by any of those herbs capable of repairing nerve damage.",,4
Carlong,Bone Repair,everywhere,mild temperate,short grass,extreme,Stalk,Brew,110gp,0,,"If the stalk is chopped and boiled for several hours, the thick soup that results can repair shattered bones and joints if ingested. The broken limb(s) must be placed in a proper position or they heal improperly. In addition, they must not be moved during 12 hours it takes for the heraling to be completed..",0
Caradhrain,Physical Alteration/Enhancement,everywhere,warm,tropical grasslands,hard,Root,Brew,65gp,0,"Unlike most other grasses, Caradhrain posses a lage tuber. The uses for this root are twofoled, and neither is anny good without the other. First it must be ground up and placed in boiling water (which is inbibed). Ath the same time, a second raradhrain root is place in the fire and allowed to blacken. It should then be  rubbed onto whatever body part the user wants to protect. Each root yields enoug oil for ½ of a human body. If both steps are undertaken by the same person, they find themselves totally protected from heat and flame for 1-0 hours, provided they do not whash or eat anything else (either being enough to negate the effect). 
During this time , the subject may pass through normal fire without injury and handle red-hot metel up for 1 minute before experiencing  enough discomfort to put it down. The fire of a forge is hot enoigh to make him very uncomfortable; thet of a volcano or a dragon will kill him. He may be able to stand up to a Balrog, but not make contact, as the fire is of magical origin.",,0
Carnegurth,Poison,---,---,---,medium,Flower,Liquid,5sp,0,,Circulatory poison. RR failure by 51+ equals massive internal blood clotting and death in 1-100 hours. If RR fails by less check the results in table 11.2.3 Poison Descriptions Effect Descriptions.,1
Carnerem,Antidotes,---,---,---,hard,Leaf,Apply,8sp,0,,Delays any poison for 24 hours.,10
Carneyar,Concussion Relief,---,---,---,absurd,Flower,Brew,250sp,5,If drawback occurs user is sluggish and slow (acts at -10) for 11-20 minutes after taking the herb.,Instantly heals all hits and stops all bleeding.,20
Carpet Moss,Bone Repair,Moria,cool temperate,underground,easy,Fungus,Apply,4sp,0,,Double the rate for healing fractures and aids in bone setting.,6
Cashdir,Antidotes,Greater Harad,hot ,desert,hard,Flower,Ingest,54gp,0,,Antidote for muscle poison. Does not reverse any effects already taken but stops any further damage.,12
Cathaana,Poison,---,---,---,very hard,Nut,Ingest,21sp,0,If second RR is successful there is no harm to victim.,"Nerve poison. ""Sly viper"" white powder that causes euphoria for 1-10 rounds thereafter victim acts normally for 1-10 minutes after which he has to roll another RR. If that fails by 26+ he dies instantly.",1
Chap Beech Nut,Nutrition/Refreshment,Mirkwood,mild temperate,decidous/mixed forest,medium,Nut,Ingest,4sp,0,,1 days nutrition.,10
Chekyuv,Circulatory Relief,eastern Eriador,warm,freshwater coast and banks,easy,Lichen,Paste,1sp,0,,"If scraped off with a knife and spread immedeatley on a scratch or cut, it induces a slight feeling of  lethargy that last for 1 hour; the scracch fades and disapeares within 24 hours. The lichen has a slight effect on the healing of blood vessels and is used to sedate and stimulate the natural recovery process.",
Chebkuile,Life Preservation,---,---,---,absurd,Moss,Ingest,90sp,0,,Lifekeeping for 6-10 days unless heart is destroyed. Heart will continue to beat as victim enters a coma-like state. 75\\% chance of amnesia. Victim risks to forget a period of 1-12 months before he recieved the herb.,20
Chrume,Physical Alteration/Enhancement,---,---,---,medium,Mushroom,Ingest,15sp,0,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Imbiber has +20 to CO & PR for 1-10 hours. -10 to AG & QU for the same time period. Euphoric and addictive.,8
Cicino,General Purpose,Fangorn Forest,mild temperate,decidous/mixed forest,light,Leaf,Brew,7gp,0,,1 dose provide +40 RR vs disease for 3 days and will provide a second RR for anyone already incubated.,10
Corfura,Pain Reduction,---,---,---,extreme,Root,Brew,30sp,10,,Powerful anaesthetic. The Corfura halves any penalties by effectively reducing the body's sensivity to pain. The effect is instant and last for 3 hours. Using more than 1 dose per 8 hour period is dangerous and user must make an RR. RR failure by 1-25 causes drowsiness (-25) for 3 hours while RR failures above 26 causes 3 hours of unconsciousness. AF failure causes the user to become sluggish and slow operating at -10 (subtracted from all actions but the herb still halves any penalties from wounds).,14
Craeg-Curfluin,Poison,---,---,---,absurd,Plant,Liquid,210sp,0,,Conversion poison. Magical poison extracted from Gargoyle blood. Very rare. RR failure by 1-15 causes unconsciousness for 1-10 rounds. RR failure by 16-30 confer a permanent coma and RR failure by 31+ turns victim to stone (also quite permanent).,7
Cram,Nutrition/Refreshment,Dwarven settlements,---,---,easy,Bread,Ingest,13bp,0,,Dwarven waybread. A 4 oz slice provide 1 days nutrition. A 10-slice loaf costs 13 sp. Keeps 7 weeks if stored dry. Tastes of mushrooms.,1
Culan,Antidotes,---,---,---,medium,Leaf,Brew,12sp,0,,Anti spasmodic. Reduce the effects of any poison. Every dose of Culan lowers the result by 1 degree of severity; i.e extreme become severe severe become moderate etc. Mild effects are cured immediately. Culan take 3 rounds to take effect.,6
Culkas,Burn/Exposure Relief,---,arid,desert,medium,Leaf,Apply,35gp,0,,Heals 10 square feet of burns (any). 1 dose heals the effects of any type of burns (one critical). This herb completely negate any hit points and penalties taken from burns. Full healing take 1 hour but the wound is tender for a few more days. ,10
Curfalka,Muscle/Cartilage/Tendon Repair,---,---,---,extreme,Fruit,Ingest,45sp,0,,Fresh fruits if eaten will heal all muscle damage in 3-30 minutes but the herb is only fresh for 3 days. If made into a paste and preserved it heals a muscle damage in 8 hours when applied.,10
Curfalka,Muscle/Cartilage/Tendon Repair,---,---,---,extreme,Fruit,Paste,8sp,0,,Fresh fruits if eaten will heal all muscle damage in 3-30 minutes but the herb is only fresh for 3 days. If made into a paste and preserved it heals a muscle damage in 8 hours when applied.,10
Cusamar,Concussion Relief,---,cold,heath/scrub/moor,extreme,Flower,Ingest,30gp,3,,Heals 15-60 (10 + 5d10).,10
Cyclic Fever,Poison,---,---,---,medium,Ticks,Paste,3sp,0,,Reduction poison. Paste made from ticks. Causes 3-4 cycles of fever spread over 5-10 days. During fever periods (lasting 6-10 hours) victim is at -10 per 10 RR failure.,5
Dagmather,Muscle/Cartilage/Tendon Repair,---,---,---,hard,Spine,Brew,14sp,0,,Heals all cartilage damage in one damaged body. Healing take 8 hours of rest for full effect. If target continue to work or travel during the healing it take 12 hours for full effect.,5
Darsurion,Concussion Relief,---,---,---,light,Leaf,Apply,3cp,0,,Heals 1-6 hit points. ,3
Daxamas,Poison,---,---,---,folly,Leaves,Ingest,42sp,0,,"Muscle poison. Also named ""Sly Leaf"". The initial effects are often mild (or not even noticed) but this poisonous leaf causes a heart disease. If RR fails by 26+ the target will die in 1-100 days without warning.",3
Deadly Milkwhite Trumpet,Poison,---,---,---,folly,Flower,Contact/Inhalation ,30sp,0,,Respiratory poison. Causes nausea and headache (-15) for 1-10 hours on a RR failure of 1-25. On a higher failure follow the results in 11.2.3 Poison descriptions.,4
Deadly Milkwhite Trumpet,Poison,---,---,---,folly,Seed,Ingest,90sp,0,,Respiratory poison. On a RR failure by 26+ coma for 1-10 days. A severe RR failure by 51+ equals death in 1-10 days.,10
Degiik,Life Preservation,---,---,---,hard,Leaf,Ingest,150sp,0,,Stabilizes a victim with mortal wounds and keep him alive (heart beating) for 24 hours unless heart is detroyed. All healing herbs have full effect while under the influence of a Degiik.,10
Delrean,General Purpose,---,---,---,easy,Bark,Apply,1bp,0,,Repels any insect. Smells foul within a 50 feet radius.,3
Din fuinen,Poison,---,---,---,hard,Moss oil,Ingest,48sp,0,,Grows at the banks of G�lduin in Mirkwood. Target failing by 1-25 will suffer total amnesia for 1 hour per 1 failure (i.e will forget anything that happened during the hours affected by the herb). Targets failing RR by 26+ will fall asleep for 2-20 hours and suffer amnesia for 2 hours per 1 failure.,8
Dolimor,Poison,---,---,---,very hard,Fungus,Ingest,62sp,0,,Respiratory poison. RR failure by 21+ causes lungs to fail. Victim is immobilized within 1-10 minutes and dies in 1-3 hours if no antidote is applied.,6
Draaf,Concussion Relief,---,---,---,easy,Leaf,Ingest,8bp,0,,Heals 1-10 for each of 2 consecutive rounds (i.e 2-20 hits total). ,4
Dragul,Combat Enhancement,---,---,---,very hard,Root,Brew,11sp,15,If drawback occurs user will be at -30 after the initial positive effects. Drawback fades over the course of 2-20 hours.,Brew provide +10 to Combat maneuvers (including OB) Perceptions & Athletics for 1 hour.,10
Dugmuthur,Concussion Relief,---,---,---,light,Berry,Ingest,1sp,0,,Heals 10 hit points instantly.,1
Dynallca,Poison,---,hot and humid,freshwater coast and banks,light,Leaf,Paste,14gp,3,,Tan paste destroys hearing and gives 1-10 hits.,3
Ebur,Muscle/Cartilage/Tendon Repair,---,mild temperate,ocean/saltwater shore,medium,Flower,Ingest,22gp,18,,Repairs sprains. All sprains even if ligament is completely torn will heal over a time period of 8 hours. Smaller sprains causing a penalty of less than or equal to -15 will heal in 1 hour.,4
