Name,Hillmen,Mariners,Nomads,Ruralmen,Urbanmen,Woodmen,High Men,Wood Elves,Grey Elves,High Elves,Half Elves,Dwarves,Halflings
-Weapon - 1-H Concussion+		,1,0,0,0,0,0,0,0,0,0,0,4,0
Weapon - 1-H Edged		,0,2,1,1,1,1,2,1,1,1,1,0,0
-Weapon - 1-H Edged+		,0,2,1,1,1,1,2,1,1,1,1,0,0
Weapon - 2-Handed		,0,0,0,0,0,0,1,0,0,0,0,0,0
-Weapon - 2-Handed+		,0,0,0,0,0,0,1,0,0,0,0,0,0
Weapon - Missile		,1,1,2,1,1,1,1,3,2,1,2,0,2
-Weapon - Missile+		,1,1,2,1,1,1,1,3,2,1,2,0,2
Weapon - Missile Artillery		,0,0,0,0,0,0,0,0,0,0,0,0,0
Weapon - Pole Arms		,2,0,2,1,0,1,1,0,0,0,0,0,0
-Weapon - Pole Arms+		,2,0,2,1,0,1,1,0,0,0,0,0,0
Weapon - Thrown		,2,1,1,1,0,1,0,0,0,0,0,1,2
-Weapon - Thrown+		,2,1,1,1,0,1,0,0,0,0,0,1,2
