Name,Fighter,Thief,Rogue,Warrior Monk,Layman,Magician,Illusionist,Cleric,Animist,Mentalist,Lay Healer,Healer,Mystic,Sorcerer,Ranger,Paladin,Monk,Dabbler,Bard,Magend
Lore - General			 ,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/2,1/3
Lore - Magical			 ,6,5,4,6,3,1/4,1/4,2/4,2/5,2/4,2/5,2/5,2/5,2/5,3/6,3/6,3/6,3/6,2/6,1/4,3/6,6/14
Lore - Obscure			 ,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,2/4,3/7
Lore - Technical		 ,2/6,2/4,2/5,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/5,2/4,2/5
Martial Arts - Striking		 ,3/5,3/7,3/7,1/3,3,9,9,6,6,3,3,6,6,9,4,6,2/5,4,3,3
Martial Arts - Sweeps		 ,3/5,3/7,3/7,1/3,3,9,9,6,6,3,3,6,6,9,4,6,2/5,4,3,3
Outdoor - Animal		 ,1/4,2/5,1/5,2/6,2/5,3,3,3,1/2,3,3,3,3,3,1/5,2/6,2/7,2/6,2/7,2/7
Outdoor - Environmental 	 ,2/5,2/6,2/4,2/6,2/5,3,3,2/7,1/2,3,3,3,3,3,1/3,2/6,2/6,2/6,2/6,2/6
Power Awareness			 ,8,6,7,8,4/7,1/4,1/4,2/5,2/6,2/5,2/6,2/6,2/5,2/5,5,6,3/7,2/7,3/6,3/7
Power Manipulation		 ,18,18,12,14,8,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,6/12,6/12,6/12,6/12,6/12,6/12
Power Point Development		 ,20,15,12,15,10,4,4,4,4,4,4,6,6,6,8,8,8,8,8,8
Science/Analytic - Basic	 ,3/6,3/6,3/6,3/6,2/5,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,2/5,2/5,2/5,2/5,2/5,2/5
Science/Analytic - Specialized	 ,12,12,12,12,8,6/14,6/14,6/14,6/14,6/14,6/14,6/14,6/14,6/14,8,8,8,8,8,8
Self Control	   		 ,2/6,2/6,2/6,1/3,2/7,6,6,5,5,3,3,2/7,5,5,2/7,2/7,2/4,2/7,2/7,2/6
Special Attacks			 ,2/6,2/8,2/7,2/10,5/11,15,15,10,10,12,12,15,15,15,3/9,2/8,5,6,6,4
Special Defenses		 ,35,35,35,6/12,30,40,40,40,40,25,25,25,25,40,40,40,10,40,20,20
Spells - Arcane Open Lists	 ,30,22,20,25,15,6/6,6/6,6/6,6/6,6/6,6/6,5/5,5/5,5/5,12,12,12,12,12,12
Spells - Other Realm Base Lists	 ,120,120,120,120,100,50,50,50,50,50,50,60,60,60,80,80,80,80,80,80
Spells - Other Realm Closed Lists ,105,100,90,95,80,20,20,20,20,20,20,25,25,25,45,45,45,45,45,45
Spells - Other Realm Open Lists	 ,90,80,60,70,40,10/10,10/10,10/10,10/10,10/10,10/10,12,12,12,30,30,30,30,30,30
Spells - Own Realm Closed Lists	 ,40,35,25,30,15,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,10/10,10/10,10/10,10/10,10/10,10/10
Spells - Own Realm Open Lists	 ,25,18,15,20,10,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,4/4/4,8/8,8/8,8/8,8/8,8/8,8/8
Spells - Own Realm Other Base Lists,80,70,50,60,30,8/8,8/8,8/8,8/8,8/8,8/8,10/10,10/10,10/10,25,25,25,25,25,25
Spells - Own Realm Own Base Lists ,0,0,0,0,0,3/3/3,3/3/3,3/3/3,3/3/3,3/3/3,3/3/3,3/3/3,3/3/3,3/3/3,6/6/6,6/6/6,6/6/6,6/6/6,6/6/6,6/6/6
Subterfudge - Attack   	    	 ,6/10,2/6,4/8,6/12,6/12,15,9,15,10,15,15,15,15,15,6,15,8,6/12,12,5/10
Subterfudge - Mechanics		 ,3/8,1/3,2/5,3/9,3/6,7,8,7,8,7,8,8,7,7,4,7,4,2/6,4,2/7
Subterfudge - Stealth		 ,2/5,1/3,1/3,2/4,2/6,5,3,5,3,5,6,6,2/7,6,1/5,5,2/7,1/5,2/7,1/4
Technical/Trade - General	 ,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7,3/7
Technical/Trade - Professional	 ,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Technical/Trade - Vocational	 ,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12,5/12
Urban		  		 ,2/4,1/2,1/3,3/6,2/5,3,3,3,4,3,3,3,2/5,3,3/6,4,3/7,1/5,2/4,1/4
Weapon - 1			 ,1/5,2/7,2/5,4,3/6,9,9,6,6,6,6,9,9,9,3/7,2/5,5,3/9,3/9,3/7
Weapon - 2			 ,2/5,3/8,3/8,6,3/6,20,20,7,7,8,8,20,20,20,4,3/8,8,6,6,4
Weapon - 3			 ,2/7,4,3/9,8,4,20,20,9,9,15,15,20,20,20,6,4,8,7,7,6
Weapon - 4			 ,2/7,4,3/9,8,5,20,20,9,9,20,20,20,20,20,6,4,8,8,7,7
Weapon - 5			 ,2/7,4,3/9,8,6,20,20,9,9,20,20,20,20,20,6,4,15,10,7,8
Weapon - 6			 ,5,6,6,15,7,20,20,20,20,20,20,20,20,20,9,6,15,15,15,9
Weapon - 7			 ,5,6,6,15,7,20,20,20,20,20,20,20,20,20,9,6,15,15,15,10
